course_code,course_name,professor,semester,course_description,credits,room_and_schedule,satisfies_core_requirement,prerequisites,corequisites,cross_listed_with,student_level
AADS2278.01,Introduction to Caribbean Art,"Brown, Justin M",Spring 2026,"This course offers a survey of Caribbean art from the precolonial period to the modern day. It traces the regions artistic developments across a period of over 500 years, from the art of the earliest inhabitants; through the artistic expressions of enslaved Africans; to the modern art movements of the 20th century. While serving as an introduction to the diverse artistic traditions of the Caribbean, this course also introduces fundamental methods in art history: close looking, formal analysis, visual description, and critical interpretation.",3,Stokes Hall 105S TuTh 01:30PM -02:45PM,"Cultural Diversity,Arts",None,None,ARTH2278,Undergraduate
ARTH1101.01,Art: Prehistoric to Middle Ages,"Marini, Kyle",Spring 2026,"A fundamental course for understanding the visual arts in the Western World: painting, sculpture, and architecture. M ajor monuments in the history of art will be discussed in historical and cultural context beginning with Paleolithic cave art through the art of the medieval period. This course will examine some of the ancient material from an archaeological perspective, but its main emphasis will be on style and meaning in art. Assignments will include museum visits and the study of significant works of art in Greater Boston.",3,Devlin Hall 018 TuTh 10:30AM -11:45AM,Arts,None,None,None,Undergraduate
ARTH1102.01,Art: Renaissance to Modern Times,"Leone, Stephanie;Lotery, Kevin",Spring 2026,"This is the fundamental course for understanding the visual arts: painting, sculpture, and architecture. The major monuments in the history of art will be discussed in their historical and cultural context beginning with the Renaissance in Europe down to the art of our own time. The emphasis will be on style, materiality, and meaning in art. The class meets for two slide lectures per week. Assignments will include museum visits and study of significant works of art in Greater Boston.",3,Stokes Hall 195S TuTh 01:30PM -02:45PM,Arts,None,None,None,Undergraduate
ARTH1730.01,The Medium Shapes the Message: Materials and Technologies of Visual Communication,"Wunsch, Oliver M",Spring 2026,"This is an Enduring Question course and is for FRESHM EN only. You must take both ARTH1730 and FORM 1730. How does a medium shape the message that it conveys? How does a medium shape the message that it conveys? Contemporary technologies have made the question difficult to ignore. When we decide to text rather than call, we make a choice that matters. But these considerations are hardly new. From cave paintings to the printing press, humans have continually grappled with the way every medium affords its own expressive possibilities. By using the tools of art history and linguistic anthropology, and by reflecting on the use of wood, sound, ink, VR technologies, and even the human body, these paired courses explore how media impart meaning.",3,Stokes Hall 111S TuTh 10:30AM -11:45AM,Arts,None,None,None,Undergraduate
ARTH2181.01,Masterworks of Russian Art,"Kogan, Leon",Spring 2026,"This course will examine the development of Russian art from the M edieval period to the post- Soviet era, with a special focus on how art reflected and promoted the tumultuous changes in Russian society. We will survey a wide range of movements and styles, including Neoclassicism, Romanticism, Critical Realism, Suprematism, Constructivism, Socialist Realism, Nonconformist Art, and artistic groups such as the Wanderers, the World of Art, and M oscow Conceptualists. The course will offer a deep dive into the works of celebrated artists such as Bryullov, Repin, Vrubel, Goncharova, M alevich, Pirosmani, Kandinsky, Popova, Chagall, Petrov-Vodkin, Deineka, Komar and M elamid, analyzing their contributions within broader historical contexts.",3,Lyons Hall 202 TuTh 03:00PM -04:15PM,Arts,None,None,SLAV2181,Undergraduate
ARTH2205.01,Early American Art,"Anderson, Asher",Spring 2026,"In this course we will look at art and visual culture made in what is now the United States from ancient times to around 1800. We will consider visual material representing diverseexperiences, including Native American art before and after contact with Europeans; depictions of early European settlements; and art, architecture, and material culture from the colonial, Revolutionary, and early national periods. Throughout, we will ask what it means to be American both in the past and in our own time.As much as possible, both independently and as a group, we will study works of art in person at the M useum of Fine Arts, Boston, the Peabody Essex M useum, and elsewhere.",3,Devlin Hall 227 TuTh 12:00 Noon-01:15PM,Arts,None,None,None,Undergraduate
ARTH2206.01,Art and Myth in Ancient Greece,"Hoffman, Gail L",Spring 2026,"An introduction to the visual representation of the Greek gods and godesses and to the artistic depiction of the primary cycles of Greek legends (e.g., the Trojan War and heroes such as Herakles, Perseus, and Theseus). This course focuses on how specific visual attributes serve to identify mythological characters and how the development of narrative in Greek art helped to relate their stories. Inquiring into the use of mythological imagery to decorate temples, cult statues, and vases used primarily for the symposium (male drinking parties), we will consider the functions of mythological imagery within Greek society.",3,Stokes Hall 209S M WF 01:00PM -01:50PM,Arts,None,None,CLAS2208,Undergraduate
ARTH2212.01,East Asian Art and Architecture,"Zhang, Yanzhuang",Spring 2026,"This course surveys the visual and material culture of China, Korea, and Japan from Neolithic to present times. We will address a wide range of topics, including ancient tombs, Buddhist icons, landscape paintings, imperial palaces, tea culture, and contemporary art. Particular attention will be paid not only to the physical forms of these objects and buildings, but also to their makers, users, and audiences, as well their historical, religious, and social functions. Students will be introduced to various art historical methodologies and will deepen their knowledge about one aspect of East Asian art and architectural history through a substantial research project.",3,Devlin Hall 018 M W 01:30PM -02:45PM,Arts,None,None,None,Undergraduate
ARTH2231.01,Early Renaissance Art in Italy,"Leone, Stephanie",Spring 2026,"Why was art made in the Renaissance? What did it mean to its original audience? This course studies connections between art, society and culture in Italy in the fourteenth and fifteenth centuries, a period of fertile artistic innovation. We will explore the prominent artistic centers of Florence, Siena, Rome, and Venice; powerful patrons like the M edici family; and renowned artists, such as Giotto, Brunelleschi, Donatello and Botticelli.",3,Devlin Hall 218 TuTh 09:00AM -10:15AM,Arts,None,None,None,Undergraduate
ARTH2232.01,Northern Renaissance Art,"Golahny, Amy",Spring 2026,"Painting in the Netherlands and in Germany in the fifteenth and sixteenth centuries. Emphasis will be on the style and the meaning of the great works of the masters of Northern Renaissance art such as Jan van Eyck, Hieronymus Bosch, Pieter Bruegel, and Albrecht Durer. We will discuss how the Renaissance in Northern Europe is different from the Italian Renaissance and what influences it absorbed from the Italians. We will consider the importance of printed pictures in this era when books and broadsheets assumed such a crucial role.",3,Devlin Hall 218 M W 09:00AM -10:15AM,Arts,None,None,None,Undergraduate
